,scenario_id,decision,other_action,action_likelihood,action_entropy,model_id,eval_technique,eval_top_p,eval_temperature,a1_action_likelihood
18,C_028,action2,action1,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.33333333333333337
19,C_029,action2,action1,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.41666666666666663
20,C_030,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
21,C_031,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
22,C_033,action2,action1,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.16666666666666663
23,C_034,action1,action2,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.6666666666666666
24,C_035,action2,action1,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.0
25,C_038,invalid,action2,0.5,0.6931471803599453,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.5
26,C_039,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
27,C_041,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
28,C_042,action1,action2,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.5833333333333334
29,C_043,action1,action2,0.9166666666666666,0.28683598285616074,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.9166666666666666
30,C_045,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.75
31,C_046,action1,action2,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.5833333333333334
32,C_047,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
33,C_048,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.75
34,C_050,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
35,C_051,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.75
36,C_052,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
37,C_053,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
38,C_055,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
39,C_056,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
40,C_057,action1,action2,0.5,0.6931471803599453,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.5
41,C_058,action1,action2,0.9166666666666666,0.28683598285616074,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.9166666666666666
42,C_059,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
43,C_060,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
44,C_061,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
45,C_063,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
46,C_064,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
47,C_067,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
48,C_069,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
49,C_070,action1,action2,0.5,0.6931471803599453,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.5
50,C_071,action2,action1,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.33333333333333337
51,C_073,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
52,C_075,action1,action2,0.9166666666666666,0.28683598285616074,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.9166666666666666
53,C_077,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
54,C_081,action2,action1,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.16666666666666663
55,C_085,action1,action2,0.9166666666666666,0.28683598285616074,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.9166666666666666
56,C_093,action1,action2,0.5,0.6931471803599453,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.5
57,C_094,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.75
58,C_095,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
59,C_096,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
60,C_097,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
61,C_098,action2,action1,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.0
62,C_099,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
63,C_100,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
64,C_101,action2,action1,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.41666666666666663
65,C_102,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.75
66,C_103,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.75
67,C_106,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
68,C_107,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
69,C_108,action1,action2,0.5,0.6931471803599453,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.5
70,C_109,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
71,C_110,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
72,C_111,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
73,C_113,action1,action2,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.6666666666666666
74,C_114,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.75
75,C_117,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
76,C_122,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.75
77,C_123,action1,action2,0.9166666666666666,0.28683598285616074,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.9166666666666666
78,C_125,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
79,C_128,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
80,C_129,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
81,C_132,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
82,C_133,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
83,C_134,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
84,C_136,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
85,C_137,action2,action1,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.41666666666666663
86,C_140,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
87,C_141,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
88,C_142,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
89,C_145,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
90,C_146,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.75
91,C_147,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
92,C_149,action1,action2,0.5,0.6931471803599453,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.5
93,C_151,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
94,C_153,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
95,C_155,action1,action2,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.5833333333333334
96,C_158,action2,action1,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.0
97,C_159,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
98,C_164,action1,action2,0.9166666666666666,0.28683598285616074,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.9166666666666666
99,C_167,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
